"","nh","year","villid","thanaid","agehead","sexhead","educhead","famsize","hhland","hhasset","expfd","expnfd","exptot","dmmfd","dfmfd","weight","vaccess","pcirr","rice","wheat","milk","potato","egg","oil","lexptot"
"32",13041,1,3,1,68,1,0,4,55,39100,2275.68,5693.26,8368.94,0,1,0.6568627,0,0.75,9.9242000579834,7.30800008773804,14.2916401863098,6.105,2.43600010871887,52.7812995910645,9.33240199499905
"33",13054,0,3,1,60,1,5,10,15,22490,2471.259,413.6964,2984.955,0,0,1.529412,1,0.5,12.1000003814697,9.60000038146973,14.5199997901917,8,3,72.8000030517578,8.30167490765738
"34",13054,1,3,1,28,1,0,4,4,12978.75,1783.394,485.519,2668.913,0,0,1.529412,0,0.75,9.9242000579834,7.30800008773804,14.2916401863098,6.105,2.43600010871887,52.7812995910645,8.18980116659375
"35",13061,0,3,1,60,1,0,4,10,25310,2595.167,266.9247,2962.092,0,1,0.6568627,1,0.5,12.1000003814697,9.60000038146973,14.5199997901917,8,3,72.8000030517578,8.29398859670342
"36",13061,1,3,1,55,0,0,4,10,25310,3727.839,715.2527,4843.091,0,1,0.6568627,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,8.7855148906237
"37",13091,0,3,1,63,1,0,3,19,34010,3055.856,413.3333,3569.19,0,1,0.6568627,1,0.5,12.1000003814697,9.60000038146973,13.1999998092651,8,3,72.8000030517578,8.480374094646
"38",13091,1,3,1,70,1,0,4,19,34010,3259.575,6084.89,9744.465,1,0,0.6568627,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,9.48455732758109
"39",13101,0,3,1,44,1,4,6,19,32460,2111.372,289.9497,2501.321,0,1,0.6568627,1,0.5,12.1000003814697,9.60000038146973,13.1999998092651,8,3,72.8000030517578,8.12497398015956
"40",13101,1,3,1,55,1,0,4,19,32460,3524.157,755.3459,4679.503,0,1,0.6568627,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,8.75116086176876
"41",13111,0,3,1,34,1,0,3,3,4242,3130.953,648.6937,3879.647,0,1,0.6568627,1,0.5,12.1000003814697,9.60000038146973,13.1999998092651,8,3,72.8000030517578,8.56375717129297
"42",13111,1,3,1,41,1,0,5,3,4242,2404.114,523.0747,3327.189,1,0,0.6568627,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,8.41018359119394
"43",13121,0,3,1,27,1,0,3,8,11615,2888.333,364.364,3352.696,0,1,0.6568627,1,0.5,12.1000003814697,9.60000038146973,13.1999998092651,8,3,72.8000030517578,8.41781830023115
"44",13121,1,3,1,36,1,0,4,8,11615,3074.841,2156.584,5631.425,0,1,0.6568627,0,0.75,9.9242000579834,7.30800008773804,12.9924001693726,6.105,2.43600010871887,52.7812995910645,8.93629535663852
"45",21015,0,1,2,48,1,12,8,528,541845,4904.391,3547.589,8551.979,0,0,1.593137,1,0.75,9.89999961853027,10.8000001907349,14.3999996185303,9,2.70000004768372,67.5999984741211,9.35403492229892
"46",21015,1,1,2,50,1,12,9,839,1268880,4125.953,2565.826,7091.779,0,0,1.593137,1,0.8,11.6611003875732,9.74400043487549,9.74400043487549,7.174,2.0304000377655,52.7812995910645,9.16683250323748
"47",21035,0,1,2,35,1,0,7,144,170240,3228.331,1106.578,4434.91,0,0,1.593137,1,0.75,9.89999961853027,10.8000001907349,14.3999996185303,9,2.70000004768372,67.5999984741211,8.6974880597162
"48",21035,1,1,2,60,1,0,8,194.5,204621.8,1987.921,1221.241,3609.162,0,0,1.593137,1,0.8,11.6611003875732,9.74400043487549,9.74400043487549,7.174,2.0304000377655,52.7812995910645,8.49150792566632
"49",21054,0,1,2,35,1,0,7,78,71350,2448.051,686.2445,3234.295,0,0,1.235294,1,0.75,9.89999961853027,10.8000001907349,14.3999996185303,9,2.70000004768372,67.5999984741211,8.38187539288563
"50",21054,1,1,2,48,1,0,9,2,9581.811,5492.248,2274.026,8166.274,0,0,1.235294,1,0.8,11.6611003875732,9.74400043487549,9.74400043487549,7.174,2.0304000377655,52.7812995910645,9.30789047244653
"51",21061,0,1,2,34,1,0,4,1,5340,2833.455,1152.697,4086.153,1,1,0.7536765,1,0.75,9.89999961853027,10.8000001907349,14.3999996185303,9,2.70000004768372,67.5999984741211,8.61560391863554
"52",21061,1,1,2,45,1,0,4,1,5340,3332.318,397.8887,4130.207,0,1,0.7536765,1,0.8,11.6611003875732,9.74400043487549,9.74400043487549,7.174,2.0304000377655,52.7812995910645,8.62632489507382
"53",22021,0,2,2,27,1,2,4,18,13020,2821.639,1583.929,4505.568,1,0,0.6028368,1,0.75,8.80000019073486,9.60000038146973,12,8,1.79999995231628,65,8.71329116719806
"54",22021,1,2,2,37,1,0,5,18,13020,2264.447,605.7656,3270.213,0,1,0.6028368,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,8.39291614311933
"55",22024,0,2,2,54,1,0,5,14,7580,2122.925,238.0961,2461.021,0,0,1.361702,1,0.75,8.80000019073486,9.60000038146973,12,8,1.79999995231628,65,8.10873783635871
"56",22024,1,2,2,50,1,0,7,1.5,1353.363,1301.742,245.2488,1946.991,0,0,1.361702,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,7.8745538640686
"57",22025,0,2,2,30,1,9,5,355,41250,4439.146,2621.649,7160.795,0,0,1.985816,1,0.75,8.80000019073486,9.60000038146973,12,8,1.79999995231628,65,9.17651592685914
"58",22025,1,2,2,35,1,8,6,363,298957.9,4689.403,2824.92,7914.323,0,0,1.985816,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,9.27655578007375
"59",22031,0,2,2,34,1,0,3,10,6020,2238.458,178.82,2517.278,1,0,0.6028368,1,0.75,8.80000019073486,9.60000038146973,12,8,1.79999995231628,65,8.1313306135935
"60",22031,1,2,2,37,1,0,4,10,6020,2127.825,453.2075,2981.033,0,1,0.6028368,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,8.30036056166184
"61",22044,0,2,2,38,1,0,5,4,2690,1996.045,203.5356,2299.58,0,0,1.361702,1,0.75,8.80000019073486,9.60000038146973,12,8,1.79999995231628,65,8.04091654403979
"62",22044,1,2,2,55,1,0,6,5,3498.444,1571.48,166.1252,2137.605,0,0,1.361702,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,7.96790902629794
"63",22054,0,2,2,44,1,0,3,1.5,1000,2348.215,269.8574,2718.072,0,0,1.361702,1,0.75,8.80000019073486,9.60000038146973,12,8,1.79999995231628,65,8.20804592460552
"64",22054,1,2,2,40,1,0,2,1,947.3542,2599.811,1810.8,4810.61,0,0,1.361702,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,8.77878702642851
"65",22061,0,2,2,27,1,12,6,224,200550,2338.106,928.5617,3366.668,1,0,0.6028368,1,0.75,8.80000019073486,9.60000038146973,12,8,1.79999995231628,65,8.42197579568155
"66",22061,1,2,2,37,1,12,6,224,200550,2276.808,935.6252,3612.433,0,1,0.6028368,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,8.49241356897095
"67",22091,0,2,2,35,1,0,4,11,6190,2170.583,181.9422,2452.525,0,1,0.6028368,1,0.75,8.80000019073486,9.60000038146973,12,8,1.79999995231628,65,8.10528104500321
"68",22091,1,2,2,41,1,0,4,11,6190,1318.176,521.0448,2239.22,0,1,0.6028368,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,8.01432935431209
"69",22101,0,2,2,32,0,0,4,2,2750,2287.56,177.1467,2564.707,0,1,0.6028368,1,0.75,8.80000019073486,9.60000038146973,12,8,1.79999995231628,65,8.14998935315319
"70",22101,1,2,2,37,0,0,3,2,2750,2002.977,376.9115,2779.889,0,1,0.6028368,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,8.23052593973728
"71",22121,0,2,2,54,1,8,2,1,1,2986.176,822.1773,3908.353,0,1,0.6028368,1,0.75,8.80000019073486,9.60000038146973,12,8,1.79999995231628,65,8.27112716614144
"72",22121,1,2,2,53,0,0,1,1,1,3093.788,420.2192,3914.007,0,1,0.6028368,1,0.85,9.9242000579834,7.30800008773804,9.74400043487549,6.105,2.0304000377655,45.7430992126465,8.2725723964182
"73",23031,0,3,2,32,1,0,4,10,6610,2402.371,146.1301,2648.501,0,1,0.7521367,1,0.75,8.80000019073486,9.60000038146973,12,8,2.70000004768372,67.5999984741211,7.88212659936245
"74",23031,1,3,2,35,1,0,5,10,6610,2778.184,377.8589,3556.043,0,1,0.7521367,1,0.75,11.164999961853,7.30800008773804,9.74400043487549,6.868,2.0304000377655,45.7430992126465,8.17668486071429
"75",23041,0,3,2,27,1,0,3,1,15400,3312.918,1357.996,4770.914,0,1,0.7521367,1,0.75,8.80000019073486,9.60000038146973,12,8,2.70000004768372,67.5999984741211,8.47050276126162
"76",23041,1,3,2,35,1,0,4,1,15400,2501.353,1322.405,4223.758,0,1,0.7521367,1,0.75,11.164999961853,7.30800008773804,9.74400043487549,6.868,2.0304000377655,45.7430992126465,8.34871726004431
"77",23044,0,3,2,56,1,0,6,34,19860,1678.122,169.9827,1948.104,0,0,1.497436,1,0.75,8.80000019073486,9.60000038146973,12,8,2.70000004768372,67.5999984741211,7.57512505878172
"78",23044,1,3,2,55,1,0,8,16,16868.32,1085.905,107.4232,1593.328,0,0,1.497436,1,0.75,11.164999961853,7.30800008773804,9.74400043487549,6.868,2.0304000377655,45.7430992126465,7.37420760982574
"79",23054,0,3,2,26,1,0,2,2,1460,3349.023,381.8718,3830.895,0,0,1.497436,1,0.75,8.80000019073486,9.60000038146973,12,8,2.70000004768372,67.5999984741211,8.25111473788027
"80",23054,1,3,2,27,1,0,3,1,1119.908,1428.024,244.9587,2072.982,0,0,1.497436,1,0.75,11.164999961853,7.30800008773804,9.74400043487549,6.868,2.0304000377655,45.7430992126465,7.63722570987042
"81",23061,0,3,2,40,1,2,5,131,56400,2356.88,224.5619,2681.442,1,1,0.7521367,1,0.75,8.80000019073486,9.60000038146973,12,8,2.70000004768372,67.5999984741211,7.89448285264948
"82",23061,1,3,2,25,1,0,2,12,16105.02,5290.973,1031.601,6722.574,0,0,0.7521367,1,0.75,11.164999961853,7.30800008773804,9.74400043487549,6.868,2.0304000377655,45.7430992126465,8.81337513737574
"83",23081,0,3,2,40,1,0,8,27,24900,2732.474,421.8417,3254.316,0,1,0.7521367,1,0.75,8.80000019073486,9.60000038146973,12,8,2.70000004768372,67.5999984741211,8.08804463134378
"84",23081,1,3,2,47,1,0,10,27,24900,4214.237,1152.05,5766.288,0,1,0.7521367,1,0.75,11.164999961853,7.30800008773804,9.74400043487549,6.868,2.0304000377655,45.7430992126465,8.65995723167835
"85",23121,0,3,2,22,1,4,4,354,324150,4175.197,2096.19,6371.387,0,1,0.7521367,1,0.75,8.80000019073486,9.60000038146973,12,8,2.70000004768372,67.5999984741211,8.75972940364895
"86",23121,1,3,2,22,1,6,2,178,231195,4191.366,1544.864,6136.229,0,0,0.7521367,1,0.75,11.164999961853,7.30800008773804,9.74400043487549,6.868,2.0304000377655,45.7430992126465,8.72212861634177
"87",31011,0,1,3,35,0,2,7,6,131550,2644.063,510.6809,3254.744,0,1,0.6975925,1,0.15,11,12,24,8,3.29999995231628,72.8000030517578,8.08817609995277
"88",31011,1,1,3,52,1,1,7,6,131550,4900.334,1377.917,6678.251,0,1,0.6772083,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,8.80676113449563
"89",31014,0,1,3,33,1,12,7,6,174450,3681.387,1477.89,5259.278,0,0,1.231552,1,0.15,11,12,24,8,3.29999995231628,72.8000030517578,8.56793915604618
"90",31014,1,1,3,42,1,10,8,3,272465.8,3921.031,1555.522,5876.553,0,0,1.287532,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,8.67889579781296
"91",31024,0,1,3,34,1,12,6,31,1057950,4085.547,3531.272,7716.819,0,0,1.231552,1,0.15,11,12,24,8,3.29999995231628,72.8000030517578,8.95128709015115
"92",31024,1,1,3,50,1,12,6,32,1355563,5295.71,3779.267,9474.977,0,0,1.287532,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,9.15651513809127
"93",31025,0,1,3,31,1,10,10,60,357200,4043.089,2597.644,6740.733,0,0,1.847328,1,0.15,11,12,24,8,3.29999995231628,72.8000030517578,8.81607229251796
"94",31025,1,1,3,35,1,9,8,60,357200,4181.554,15745.36,20326.92,0,1,1.931298,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,9.91975058953378
"95",31035,0,1,3,60,1,10,9,649,1079800,5574.845,21872.82,27547.67,0,0,1.847328,1,0.15,11,12,24,8,3.29999995231628,72.8000030517578,10.2237095375537
"96",31035,1,1,3,70,1,10,5,6,588036.3,7277.846,3790.77,11468.62,0,0,1.931298,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,9.34745707967051
"97",31044,0,1,3,43,1,5,6,34,383600,4411.929,1273.06,5784.99,0,0,1.231552,1,0.15,11,12,24,8,3.29999995231628,72.8000030517578,8.66319475722487
"98",31044,1,1,3,40,0,4,4,259,447218.8,7023.955,16406.99,23830.95,0,0,1.287532,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,10.0787823963714
"99",31051,0,1,3,35,1,3,4,10,263200,4297.84,505.0162,4902.855,0,1,0.6975925,1,0.15,11,12,24,8,3.29999995231628,72.8000030517578,8.49777690947908
"100",31051,1,1,3,58,1,6,10,10,263200,3943.971,4342.266,8686.236,0,1,0.6772083,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,9.0696101009221
"101",31061,0,1,3,26,1,8,4,5,221560,4245.85,1603.481,5949.331,0,1,0.6975925,1,0.15,11,12,24,8,3.29999995231628,72.8000030517578,8.69120212724447
"102",31061,1,1,3,31,1,8,4,5,221560,6508.323,14464.07,21372.39,0,1,0.6772083,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,9.96990196933072
"103",31091,0,1,3,34,1,4,5,4.5,98800,3414.01,831.39,4345.401,0,1,0.6975925,1,0.15,11,12,24,8,3.29999995231628,72.8000030517578,8.37710342531275
"104",31091,1,1,3,50,1,3,6,4.5,98800,3732.125,552.623,4684.748,0,1,0.6772083,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,8.45228084041299
"105",31101,0,1,3,28,1,0,2,1,16845,4575.12,2354.805,7029.924,0,1,0.6975925,1,0.15,11,12,24,8,3.29999995231628,72.8000030517578,8.85807341286752
"106",31101,1,1,3,35,1,0,4,1,16845,3725.809,735.8911,4861.7,0,1,0.6772083,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,8.48934911818624
"107",31111,0,1,3,35,0,0,5,1,2125,1975.62,363.935,2439.555,0,1,0.6975925,1,0.15,11,12,24,8,3.29999995231628,72.8000030517578,7.79998075143876
"108",31111,1,1,3,70,1,4,9,12,704229.3,6638.396,937.5796,7975.976,0,0,0.6772083,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,8.98431467125673
"109",31121,0,1,3,48,0,0,5,12,66580,3616.364,670.8953,4387.259,0,1,0.6975925,1,0.15,11,12,24,8,3.29999995231628,72.8000030517578,8.38668784426582
"110",31121,1,1,3,55,0,0,5,12,66580,8494.789,10105.56,19000.35,0,1,0.6772083,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,9.85226530825604
"111",32011,0,2,3,18,1,0,7,9,61410,2367.6,460.9463,2928.546,0,1,0.5280612,1,0.1,11,12,24,8,3.29999995231628,72.8000030517578,7.98260274119985
"112",32011,1,2,3,28,1,2,5,9,61410,4516.985,6708.621,11625.61,0,1,0.5280612,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,9.36105171548972
"113",32014,0,2,3,50,1,0,3,4,173600,5808.7,13050.77,18959.47,0,0,1.670238,1,0.1,11,12,24,8,3.29999995231628,72.8000030517578,9.8501115645313
"114",32014,1,2,3,70,1,0,2,3.25,217864.4,6810.8,1596.969,8807.769,0,0,1.670238,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,9.08350298158512
"115",32015,0,2,3,28,1,10,10,125,489550,4485.004,2095.896,6680.9,0,0,1.861905,1,0.1,11,12,24,8,3.29999995231628,72.8000030517578,8.80715765722555
"116",32015,1,2,3,35,1,9,4,43,652131.6,7695.899,17806.54,25902.44,0,0,1.861905,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,10.1621310574008
"117",32024,0,2,3,50,1,0,8,2,36300,3507.159,933.0212,4540.18,0,0,1.670238,1,0.1,11,12,24,8,3.29999995231628,72.8000030517578,8.42094216915842
"118",32024,1,2,3,55,1,0,7,2,36300,5531.002,2347.118,8278.12,0,1,1.670238,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,9.02149196153793
"119",32031,0,2,3,46,1,4,8,104,140760,3287.285,604.7797,3992.064,0,1,0.5280612,1,0.1,11,12,24,8,3.29999995231628,72.8000030517578,8.29231413498386
"120",32031,1,2,3,58,1,5,8,104,140760,5013.364,5412.606,10825.97,0,1,0.5280612,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,9.28979552245641
"121",32044,0,2,3,46,1,0,7,2,24950,3198.623,1972.195,5270.817,0,0,1.670238,1,0.1,11,12,24,8,3.29999995231628,72.8000030517578,8.57013036389551
"122",32044,1,2,3,32,1,3,5,1,7781.838,3020.707,529.1648,3949.871,0,0,1.670238,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,8.28169133991633
"123",32061,0,2,3,40,1,0,8,2,16235,2936.352,463.1622,3499.514,0,1,0.5280612,1,0.1,11,12,24,8,3.29999995231628,72.8000030517578,8.16066509383791
"124",32061,1,2,3,50,1,0,6,2,16235,4544.142,916.9038,5861.046,0,1,0.5280612,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,8.67625396839119
"125",32064,0,2,3,32,1,2,7,4,43750,4134.574,3226.947,7461.52,0,0,1.670238,1,0.1,11,12,24,8,3.29999995231628,72.8000030517578,8.91764843776427
"126",32064,1,2,3,40,1,12,9,176,594667.8,4851.356,1652.606,6903.962,0,0,1.670238,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,8.83999556256974
"127",32121,0,2,3,52,0,0,7,6,54780,3104.546,6553.471,9758.017,0,1,0.5280612,1,0.1,11,12,24,8,3.29999995231628,72.8000030517578,9.1859469571217
"128",32121,1,2,3,66,0,0,5,6,54780,8804.439,16172.69,25377.13,0,1,0.5280612,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,10.1416430584908
"129",32131,0,2,3,52,0,0,7,86,232510,3837.357,2511.714,6449.071,0,1,0.5280612,1,0.1,11,12,24,8,3.29999995231628,72.8000030517578,8.77184641748117
"130",32131,1,2,3,55,0,0,5,86,232510,5575.856,1224.793,7200.649,0,1,0.5280612,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,8.88206530655907
"131",32141,0,2,3,50,1,1,8,5,151110,2930.936,528.392,3559.328,0,1,0.5280612,1,0.1,11,12,24,8,3.29999995231628,72.8000030517578,8.17760795443338
"132",32141,1,2,3,30,1,3,3,5,151110,4950.602,1117.653,6468.255,0,1,0.5280612,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,8.77481623403351
"133",33014,0,3,3,27,1,0,4,0.2,1100,3349.022,434.7722,3883.795,0,0,1.937057,1,0.2,13.1999998092651,12,24,8,3.29999995231628,72.8000030517578,8.26482549435675
"134",33014,1,3,3,45,1,0,7,0.2,1100,2605.804,277.2461,3283.05,0,1,1.937057,1,0.4,11.4135999679565,8.12040042877197,16.2408008575439,7.021,2.43600010871887,52.7812995910645,8.09683269579137
"135",33034,0,3,3,40,0,0,2,1,6890,3073.909,510.6899,3684.599,0,0,1.937057,1,0.2,13.1999998092651,12,24,8,3.29999995231628,72.8000030517578,8.21218834229543
"136",33034,1,3,3,65,0,0,2,2,35099.47,5935.174,876.3027,7211.477,0,0,1.937057,1,0.4,11.4135999679565,8.12040042877197,16.2408008575439,7.021,2.43600010871887,52.7812995910645,8.88356772190313
