"","nh","year","villid","thanaid","agehead","sexhead","educhead","famsize","hhland","hhasset","expfd","expnfd","exptot","dmmfd","dfmfd","weight","vaccess","pcirr","rice","wheat","milk","potato","egg","oil","exptot0","exptot91"
"51",31061,1,1,3,31,1,8,4,5,221560,6508.323,14464.07,21382.39,0,1,0.6772083,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,892.39965
"52",31091,1,1,3,50,1,3,6,4.5,98800,3732.125,552.623,4694.748,0,1,0.6772083,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,651.81015
"53",31101,1,1,3,35,1,0,4,1,16845,3725.809,735.8911,4871.7,0,1,0.6772083,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,1054.4886
"54",31111,1,1,3,70,1,4,9,12,704229.3,6638.396,937.5796,7985.976,0,0,0.6772083,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,365.93325
"55",31121,1,1,3,55,0,0,5,12,66580,8494.789,10105.56,19010.35,0,1,0.6772083,1,0.15,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,4387.259
"56",32011,1,2,3,28,1,2,5,9,61410,4516.985,6708.621,11635.61,0,1,0.5280612,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,2928.546
"57",32014,1,2,3,70,1,0,2,3.25,217864.4,6810.8,1596.969,8817.769,0,0,1.670238,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,18959.47
"58",32015,1,2,3,35,1,9,4,43,652131.6,7695.899,17806.54,25912.44,0,0,1.861905,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,6680.9
"59",32024,1,2,3,55,1,0,7,2,36300,5531.002,2347.118,8288.12,0,1,1.670238,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,4540.18
"60",32031,1,2,3,58,1,5,8,104,140760,5013.364,5412.606,10835.97,0,1,0.5280612,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,3992.064
"61",32044,1,2,3,32,1,3,5,1,7781.838,3020.707,529.1648,3959.871,0,0,1.670238,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,5270.817
"62",32061,1,2,3,50,1,0,6,2,16235,4544.142,916.9038,5871.046,0,1,0.5280612,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,3499.514
"63",32064,1,2,3,40,1,12,9,176,594667.8,4851.356,1652.606,6913.962,0,0,1.670238,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,7461.52
"64",32121,1,2,3,66,0,0,5,6,54780,8804.439,16172.69,25387.13,0,1,0.5280612,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,9758.017
"65",32131,1,2,3,55,0,0,5,86,232510,5575.856,1224.793,7210.649,0,1,0.5280612,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,6449.071
"66",32141,1,2,3,30,1,3,3,5,151110,4950.602,1117.653,6478.255,0,1,0.5280612,1,0.1,10.6688995361328,7.30800008773804,16.2408008575439,6.563,2.43600010871887,49.2621994018555,0,3559.328
"67",33014,1,3,3,45,1,0,7,0.2,1100,2605.804,277.2461,3293.05,0,1,1.937057,1,0.4,11.4135999679565,8.12040042877197,16.2408008575439,7.021,2.43600010871887,52.7812995910645,0,3883.795
"68",33034,1,3,3,65,0,0,2,2,35099.47,5935.174,876.3027,7221.477,0,0,1.937057,1,0.4,11.4135999679565,8.12040042877197,16.2408008575439,7.021,2.43600010871887,52.7812995910645,0,3684.599
"69",33051,1,3,3,35,1,0,5,13,80950,1644.066,262.5525,2316.618,0,1,0.6029635,1,0.4,11.4135999679565,8.12040042877197,16.2408008575439,7.021,2.43600010871887,52.7812995910645,0,4234.346
"70",33054,1,3,3,45,1,3,6,2,8120,2677.854,933.8206,4021.675,0,1,1.937057,1,0.4,11.4135999679565,8.12040042877197,16.2408008575439,7.021,2.43600010871887,52.7812995910645,0,3829.386
"71",33061,1,3,3,35,1,0,5,52,209520,5022.601,536.3379,5968.939,0,1,0.6029635,1,0.4,11.4135999679565,8.12040042877197,16.2408008575439,7.021,2.43600010871887,52.7812995910645,0,4387.195
"72",33064,1,3,3,35,1,0,18,342,384456.6,3221.906,785.7024,4417.609,0,0,1.937057,1,0.4,11.4135999679565,8.12040042877197,16.2408008575439,7.021,2.43600010871887,52.7812995910645,0,4021.784
"73",33131,1,3,3,35,1,0,6,1.5,23100,3465.512,911.2644,4786.776,1,1,0.6029635,1,0.4,11.4135999679565,8.12040042877197,16.2408008575439,7.021,2.43600010871887,52.7812995910645,0,3376.926
"74",33141,1,3,3,25,1,0,3,1,575.1793,4284.748,765.7778,5460.525,0,0,0.6029635,1,0.4,11.4135999679565,8.12040042877197,16.2408008575439,7.021,2.43600010871887,52.7812995910645,0,2591.413
"75",41011,1,1,4,48,1,2,9,8,15405,1403.287,278.1913,2091.479,0,1,0.7210401,1,0.7,10.2971000671387,9.74400043487549,9.74400043487549,6.334,1.62360000610352,52.7812995910645,0,1771.014
"76",41014,1,1,4,60,1,8,10,32,60207.74,2452.294,516.3081,3378.602,0,0,0.8510638,1,0.7,10.2971000671387,9.74400043487549,9.74400043487549,6.334,1.62360000610352,52.7812995910645,0,3439.352
"77",41015,1,1,4,45,1,12,5,144,17910,2360.265,706.4553,3476.721,1,1,2.364066,1,0.7,10.2971000671387,9.74400043487549,9.74400043487549,6.334,1.62360000610352,52.7812995910645,0,3512.081
"78",41021,1,1,4,32,1,0,5,2,12315,2166.464,488.5642,3065.028,1,1,0.7210401,1,0.7,10.2971000671387,9.74400043487549,9.74400043487549,6.334,1.62360000610352,52.7812995910645,0,3853.754
"79",41034,1,1,4,25,1,0,2,7,9947.219,2779.131,663.1479,3852.279,0,0,0.8510638,1,0.7,10.2971000671387,9.74400043487549,9.74400043487549,6.334,1.62360000610352,52.7812995910645,0,3865.14
"80",41035,1,1,4,45,1,0,5,535,356793.9,3793.206,2411.693,6614.899,0,0,2.364066,1,0.7,10.2971000671387,9.74400043487549,9.74400043487549,6.334,1.62360000610352,52.7812995910645,0,4237.914
"81",41041,1,1,4,50,1,0,5,78,130050,2751.658,502.0979,3663.756,1,0,0.7210401,1,0.7,10.2971000671387,9.74400043487549,9.74400043487549,6.334,1.62360000610352,52.7812995910645,0,4741.302
"82",41054,1,1,4,40,1,0,5,10,26979.3,2265.53,265.8005,2941.33,0,0,0.8510638,1,0.7,10.2971000671387,9.74400043487549,9.74400043487549,6.334,1.62360000610352,52.7812995910645,0,4081.492
"83",41071,1,1,4,65,1,1,4,32,63605,2700.298,195.3916,3305.689,1,1,0.7210401,1,0.7,10.2971000671387,9.74400043487549,9.74400043487549,6.334,1.62360000610352,52.7812995910645,0,6205.899
"84",41091,1,1,4,35,1,8,5,1,41900,2674.246,6159.156,9243.401,1,1,0.7210401,1,0.7,10.2971000671387,9.74400043487549,9.74400043487549,6.334,1.62360000610352,52.7812995910645,0,2940.389
"85",41101,1,1,4,30,1,1,2,125,272650,3786.71,1146.975,5343.685,1,1,0.7210401,1,0.7,10.2971000671387,9.74400043487549,9.74400043487549,6.334,1.62360000610352,52.7812995910645,0,16847.98
"86",41111,1,1,4,45,1,0,5,52,102070,4991.203,943.2939,6344.497,1,1,0.7210401,1,0.7,10.2971000671387,9.74400043487549,9.74400043487549,6.334,1.62360000610352,52.7812995910645,0,5262.921
"87",42011,1,2,4,38,1,0,6,3,14365,3823.251,1387.197,5620.448,0,1,0.4232804,1,0.6,11.4135999679565,8.9315996170044,9.74400043487549,7.021,1.62360000610352,61.5783996582031,0,3157.629
"88",42015,1,2,4,40,1,5,7,342,261097.6,2392.746,614.8132,3417.559,0,0,3.386243,1,0.6,11.4135999679565,8.9315996170044,9.74400043487549,7.021,1.62360000610352,61.5783996582031,0,2335.014
"89",42025,1,2,4,40,1,0,4,62,40545,4275.274,1618.961,6304.235,0,1,3.386243,1,0.6,11.4135999679565,8.9315996170044,9.74400043487549,7.021,1.62360000610352,61.5783996582031,0,3153.1
"90",42034,1,2,4,60,1,4,5,78,54188.66,3845.175,871.5659,5126.741,0,0,0.952381,1,0.6,11.4135999679565,8.9315996170044,9.74400043487549,7.021,1.62360000610352,61.5783996582031,0,3254.854
"91",42035,1,2,4,30,1,0,4,293,194060,2317.973,433.0762,3161.049,1,0,3.386243,1,0.6,11.4135999679565,8.9315996170044,9.74400043487549,7.021,1.62360000610352,61.5783996582031,0,4300.977
"92",42041,1,2,4,45,1,0,6,3,10170,2099.517,685.1399,3194.657,1,1,0.4232804,1,0.6,11.4135999679565,8.9315996170044,9.74400043487549,7.021,1.62360000610352,61.5783996582031,0,3029.229
"93",42044,1,2,4,28,1,0,4,12.5,19894.44,2392.746,378.0957,3180.842,0,0,0.952381,1,0.6,11.4135999679565,8.9315996170044,9.74400043487549,7.021,1.62360000610352,61.5783996582031,0,3926.744
"94",42054,1,2,4,55,1,0,4,40,32150,5329.544,5614.766,11354.31,1,0,0.952381,1,0.6,11.4135999679565,8.9315996170044,9.74400043487549,7.021,1.62360000610352,61.5783996582031,0,5476.434
"95",42092,1,2,4,33,1,7,2,18,38160,2199.215,11576.33,14185.54,0,1,0.4232804,1,0.6,11.4135999679565,8.9315996170044,9.74400043487549,7.021,1.62360000610352,61.5783996582031,0,4358.162
"96",42112,1,2,4,35,1,0,4,2,17280,2999.391,635.2349,4044.626,1,0,0.4232804,1,0.6,11.4135999679565,8.9315996170044,9.74400043487549,7.021,1.62360000610352,61.5783996582031,0,3782.037
"97",43024,1,3,4,27,1,0,4,9,89254.3,2062.864,773.1086,3245.972,0,0,1.819718,1,0.6,9.9242000579834,8.9315996170044,9.74400043487549,6.105,2.0304000377655,61.5783996582031,0,4307.681
"98",43025,1,3,4,46,1,3,4,6,30207.07,1952.565,507.5111,2870.076,0,0,2.007042,1,0.6,9.9242000579834,8.9315996170044,9.74400043487549,6.105,2.0304000377655,61.5783996582031,0,3769.536
"99",43044,1,3,4,37,1,6,4,33,47585,4787.86,2306.638,7504.499,0,0,1.819718,1,0.6,9.9242000579834,8.9315996170044,9.74400043487549,6.105,2.0304000377655,61.5783996582031,0,3177.991
"100",43051,1,3,4,40,1,0,6,7,29700,3072.134,1736.252,5218.386,0,1,0.4906104,1,0.6,9.9242000579834,8.9315996170044,9.74400043487549,6.105,2.0304000377655,61.5783996582031,0,3345.84
"101",43054,1,3,4,35,1,0,4,3,16595,2480.715,3761.504,6652.218,0,1,1.819718,1,0.6,9.9242000579834,8.9315996170044,9.74400043487549,6.105,2.0304000377655,61.5783996582031,0,2955.394
"102",43061,1,3,4,34,1,7,4,3,20820,2375.152,444.0723,3229.225,0,1,0.4906104,1,0.6,9.9242000579834,8.9315996170044,9.74400043487549,6.105,2.0304000377655,61.5783996582031,0,6798.479
"103",43071,1,3,4,38,1,5,5,136,106815,2681.283,1674.11,4765.393,0,1,0.4906104,1,0.6,9.9242000579834,8.9315996170044,9.74400043487549,6.105,2.0304000377655,61.5783996582031,0,3020.958
"104",43081,1,3,4,55,1,0,7,6,33085,2780.968,492.0442,3683.012,0,1,0.4906104,1,0.6,9.9242000579834,8.9315996170044,9.74400043487549,6.105,2.0304000377655,61.5783996582031,0,1940.672
"105",43091,1,3,4,48,1,8,5,13,130580,2800.649,4141.291,7351.94,0,1,0.4906104,1,0.6,9.9242000579834,8.9315996170044,9.74400043487549,6.105,2.0304000377655,61.5783996582031,0,4800.313
"106",43101,1,3,4,55,1,5,4,263,206830,5745.703,3789.417,9945.12,0,1,0.4906104,1,0.6,9.9242000579834,8.9315996170044,9.74400043487549,6.105,2.0304000377655,61.5783996582031,0,4256.203
"107",43111,1,3,4,37,1,5,4,1,805,2313.574,964.2712,3687.845,0,1,0.4906104,1,0.6,9.9242000579834,8.9315996170044,9.74400043487549,6.105,2.0304000377655,61.5783996582031,0,2755.51
"108",43121,1,3,4,40,0,0,2,2,9570,3131.682,962.5796,4504.262,0,1,0.4906104,1,0.6,9.9242000579834,8.9315996170044,9.74400043487549,6.105,2.0304000377655,61.5783996582031,0,4299.377
"109",51014,1,1,5,28,1,0,2,4,11043.44,4345.649,703.749,5459.398,0,0,1.037037,0,0.5,10.4214000701904,8.12040042877197,12.1800003051758,6.411,2.43600010871887,48.3820991516113,0,6468.595
"110",51015,1,1,5,45,1,14,7,683,1005887,6165.149,2883.63,9458.779,0,0,2.386831,0,0.5,10.4214000701904,8.12040042877197,12.1800003051758,6.411,2.43600010871887,48.3820991516113,0,4618.622
"111",51024,1,1,5,51,1,0,7,2,11977.26,2623.978,566.6726,3600.65,0,0,1.037037,0,0.5,10.4214000701904,8.12040042877197,12.1800003051758,6.411,2.43600010871887,48.3820991516113,0,2445.369
"112",51025,1,1,5,55,1,14,4,500,482325.1,14578.43,5607.152,20595.58,0,0,2.386831,0,0.5,10.4214000701904,8.12040042877197,12.1800003051758,6.411,2.43600010871887,48.3820991516113,0,5297.182
"113",51044,1,1,5,28,1,3,3,150,311476.5,8969.188,1594.713,10973.9,0,0,1.037037,0,0.5,10.4214000701904,8.12040042877197,12.1800003051758,6.411,2.43600010871887,48.3820991516113,0,3964.525
"114",51054,1,1,5,75,0,4,5,15,36055,3213.425,805.9277,4429.353,0,1,1.037037,0,0.5,10.4214000701904,8.12040042877197,12.1800003051758,6.411,2.43600010871887,48.3820991516113,0,3630.41
"115",51071,1,1,5,88,1,0,4,150,211530,4855.867,552.8491,5818.716,0,1,0.6378601,0,0.5,10.4214000701904,8.12040042877197,12.1800003051758,6.411,2.43600010871887,48.3820991516113,0,2929.657
"116",51081,1,1,5,35,1,1,6,165,174300,5652.096,2676.275,8738.371,0,1,0.6378601,0,0.5,10.4214000701904,8.12040042877197,12.1800003051758,6.411,2.43600010871887,48.3820991516113,0,2780.294
"117",51101,1,1,5,38,1,2,7,80,90000,4485.045,572.2793,5467.325,1,1,0.6378601,0,0.5,10.4214000701904,8.12040042877197,12.1800003051758,6.411,2.43600010871887,48.3820991516113,0,3916.114
"118",51111,1,1,5,50,1,0,6,10,27900,2403.122,415.0315,3228.153,0,1,0.6378601,0,0.5,10.4214000701904,8.12040042877197,12.1800003051758,6.411,2.43600010871887,48.3820991516113,0,2985.667
"119",52024,1,2,5,40,1,0,4,2,17700,3920.016,965.9626,5295.979,0,1,1.274336,0,0.3,16.7474994659424,9.74400043487549,12.9924001693726,10.303,2.43600010871887,52.7812995910645,0,3031.274
"120",52031,1,2,5,55,0,0,4,3,15150,6113.818,813.2021,7337.02,0,1,0.7227138,0,0.3,16.7474994659424,9.74400043487549,12.9924001693726,10.303,2.43600010871887,52.7812995910645,0,5632.321
"121",52041,1,2,5,47,1,9,7,140,422800,4628.888,1381.397,6420.286,0,1,0.7227138,0,0.3,16.7474994659424,9.74400043487549,12.9924001693726,10.303,2.43600010871887,52.7812995910645,0,3373.065
"122",52054,1,2,5,65,1,10,4,56,174600,4945.865,2097.713,7453.578,1,1,1.274336,0,0.3,16.7474994659424,9.74400043487549,12.9924001693726,10.303,2.43600010871887,52.7812995910645,0,4451.339
"123",52071,1,2,5,65,0,3,14,132,488150,5287.88,11452.83,17150.71,0,1,0.7227138,0,0.3,16.7474994659424,9.74400043487549,12.9924001693726,10.303,2.43600010871887,52.7812995910645,0,3658.787
"124",52091,1,2,5,41,1,10,6,50,77950,4272.342,2734.132,7416.474,1,1,0.7227138,0,0.3,16.7474994659424,9.74400043487549,12.9924001693726,10.303,2.43600010871887,52.7812995910645,0,6056.555
"125",52101,1,2,5,56,1,10,6,8,29750,6008.03,1259.191,7677.222,1,1,0.7227138,0,0.3,16.7474994659424,9.74400043487549,12.9924001693726,10.303,2.43600010871887,52.7812995910645,0,4125.506
"126",53015,1,3,5,40,1,2,5,776,580910.9,4390.31,794.4238,5594.734,0,0,0.3508772,1,0.05,16.9960994720459,8.12040042877197,12.9924001693726,10.455,2.84159994125366,56.3003997802734,0,4022.922
"127",53024,1,3,5,35,1,0,3,10,38449.05,6509.677,2208.237,9127.914,0,0,0.6315789,1,0.05,16.9960994720459,8.12040042877197,12.9924001693726,10.455,2.84159994125366,56.3003997802734,0,2916.428
"128",53034,1,3,5,35,1,1,5,55,49100,3603.194,1220.733,5233.927,0,1,0.6315789,1,0.05,16.9960994720459,8.12040042877197,12.9924001693726,10.455,2.84159994125366,56.3003997802734,0,2913.162
